,gsr,hr,id,level,state,timestamp,userid
0,975.2,70,1,0.0,Normal,2015-12-08T22:00:00,1
1,957.0,70,2,0.0,Normal,2015-12-08T22:00:00,1
2,867.8,65,3,0.0,Normal,2015-12-08T22:00:00,1
3,1013.0,65,4,0.0,Normal,2015-12-08T22:00:00,1
4,1312.0,64,5,0.0,Normal,2015-12-08T22:00:00,1
5,1706.0,64,6,0.0,Normal,2015-12-08T22:00:00,1
6,1600.0,64,7,0.0,Normal,2015-12-08T22:00:00,1
7,1651.0,69,8,0.0,Normal,2015-12-08T22:00:00,1
8,1600.0,70,9,0.0,Normal,2015-12-08T22:00:00,1
9,1575.0,71,10,0.0,Normal,2015-12-08T22:00:00,1
10,1600.0,74,11,0.0,Normal,2015-12-08T22:00:00,1
11,1551.0,75,12,0.0,Normal,2015-12-08T22:00:00,1
12,1329.0,77,13,0.0,Normal,2015-12-08T22:00:00,1
13,1296.0,81,14,0.0,Normal,2015-12-08T22:00:00,1
14,1204.0,82,15,0.0,Normal,2015-12-08T22:00:00,1
15,812.7,84,16,0.0,Normal,2015-12-08T22:00:00,1
16,832.5,84,17,0.0,Normal,2015-12-08T22:00:00,1
17,875.2,85,18,0.0,Normal,2015-12-08T22:00:00,1
18,930.9,85,19,0.0,Normal,2015-12-08T22:00:00,1
19,939.4,85,20,0.0,Normal,2015-12-08T22:00:00,1
20,948.1,86,21,0.0,Normal,2015-12-08T22:00:00,1
21,966.0,88,22,0.0,Normal,2015-12-08T22:00:00,1
22,1013.0,89,23,0.0,Normal,2015-12-08T22:00:00,1
23,1484.0,90,24,0.0,Normal,2015-12-08T22:00:00,1
24,1484.0,91,25,0.0,Normal,2015-12-08T22:00:00,1
25,1706.0,92,26,0.0,Normal,2015-12-08T22:00:00,1
26,2089.0,92,27,0.0,Normal,2015-12-08T22:00:00,1
27,2226.0,91,28,0.0,Normal,2015-12-08T22:00:00,1
28,2275.0,91,29,0.0,Normal,2015-12-08T22:00:00,1
29,2767.0,93,30,0.0,Normal,2015-12-08T22:00:00,1
30,2625.0,94,31,0.0,Normal,2015-12-08T22:00:00,1
31,3103.0,95,32,0.0,Normal,2015-12-08T22:00:00,1
32,2844.0,97,33,0.0,Normal,2015-12-08T22:00:00,1
33,4096.0,99,34,0.0,Normal,2015-12-08T22:00:00,1
34,6400.0,100,35,0.0,Normal,2015-12-08T22:00:00,1
35,34133.0,101,36,0.0,Normal,2015-12-08T22:00:00,1
36,51200.0,102,37,0.0,Normal,2015-12-08T22:00:00,1
37,2226.0,103,38,0.0,Normal,2015-12-08T22:00:00,1
38,2226.0,114,39,0.0,Normal,2015-12-08T22:00:00,1
39,2438.0,116,40,0.0,Normal,2015-12-08T22:00:00,1
40,2694.0,115,41,0.0,Normal,2015-12-08T22:00:00,1
41,2694.0,115,42,0.0,Normal,2015-12-08T22:00:00,1
42,2694.0,73,43,0.0,Normal,2015-12-08T22:00:00,1
43,3200.0,81,44,0.0,Normal,2015-12-08T22:00:00,1
44,3303.0,89,45,0.0,Normal,2015-12-08T22:00:00,1
45,3413.0,92,46,0.0,Normal,2015-12-08T22:00:00,1
46,3413.0,100,47,0.0,Normal,2015-12-08T22:00:00,1
47,3303.0,112,48,0.0,Normal,2015-12-08T22:00:00,1
48,4654.0,110,49,0.0,Normal,2015-12-08T22:00:00,1
49,4876.0,105,50,0.0,Normal,2015-12-08T22:00:00,1
50,4876.0,102,51,0.0,Normal,2015-12-08T22:00:00,1
51,17066.0,105,52,0.0,Normal,2015-12-08T22:00:00,1
52,51200.0,103,53,0.0,Normal,2015-12-08T22:00:00,1
53,14628.0,103,54,0.0,Normal,2015-12-08T22:00:00,1
54,7876.0,102,55,0.0,Normal,2015-12-08T22:00:00,1
55,6826.0,103,56,0.0,Normal,2015-12-08T22:00:00,1
56,6400.0,103,57,0.0,Normal,2015-12-08T22:00:00,1
57,6023.0,104,58,0.0,Normal,2015-12-08T22:00:00,1
58,5688.0,105,59,0.0,Normal,2015-12-08T22:00:00,1
59,5688.0,102,60,0.0,Normal,2015-12-08T22:00:00,1
60,6023.0,100,61,0.0,Normal,2015-12-08T22:00:00,1
61,5389.0,96,62,0.0,Normal,2015-12-08T22:00:00,1
62,4876.0,93,63,0.0,Normal,2015-12-08T22:00:00,1
63,4876.0,91,64,0.0,Normal,2015-12-08T22:00:00,1
64,4654.0,87,65,0.0,Normal,2015-12-08T22:00:00,1
65,4266.0,86,66,0.0,Normal,2015-12-08T22:00:00,1
66,4096.0,86,67,0.0,Normal,2015-12-08T22:00:00,1
67,3792.0,87,68,0.0,Normal,2015-12-08T22:00:00,1
68,3657.0,90,69,0.0,Normal,2015-12-08T22:00:00,1
69,4266.0,102,70,0.0,Normal,2015-12-08T22:00:00,1
70,3792.0,104,71,0.0,Normal,2015-12-08T22:00:00,1
71,4096.0,109,72,0.0,Normal,2015-12-08T22:00:00,1
72,4096.0,111,73,0.0,Normal,2015-12-08T22:00:00,1
73,3792.0,111,74,0.0,Normal,2015-12-08T22:00:00,1
74,4096.0,108,75,0.0,Normal,2015-12-08T22:00:00,1
75,3413.0,102,76,0.0,Normal,2015-12-08T22:00:00,1
76,3303.0,116,77,0.0,Normal,2015-12-08T22:00:00,1
77,3303.0,120,78,0.0,Normal,2015-12-08T22:00:00,1
78,3200.0,131,79,0.0,Normal,2015-12-08T22:00:00,1
79,34133.0,136,80,0.0,Normal,2015-12-08T22:00:00,1
